Id,Vote,Why?,Do you think tasers are safe?,Do you think tasers are safer than guns?,Age group,Gender,Location
314,no,Against human rights...,no,no,35,male,"Oakland, CA, US"
315,yes,Police should carry taser's instead of guns,maybe,yes,35,female,"Oakland, CA, US"
113,no,,no,no,35,female,"Oakland, CA, US"
16,yes,They need to be protected,yes,yes,35,female,"Oakland, CA, US"
7,yes,,no,yes,35,other,"Munich, Bavaria, DE"
122,yes,,yes,no,35,male,"Hanoi, Ha N_i, VN"
316,no,"_n this age of science, there must be mõre humanistic way",no,no,35,male,"Oakland, CA, US"
132,yes,,n/a,n/a,,,"San Francisco, CA, US"
118,no,First need to professionalize,maybe,maybe,35,female,"San Francisco, CA, US"
146,no,"Tasers kill, and police are too willing to use them.",n/a,n/a,,,"San Francisco, CA, US"
166,yes,they are at least less lethal,maybe,yes,35,male,"Lansdowne, PA, US"
168,no,,n/a,n/a,,,"San Francisco, CA, US"
187,yes,,n/a,n/a,,,"Oakland, CA, US"
192,no,Tasers are faulty weapons  . SJPD has Had  8 deaths after T.,no,no,35,female,"Union City, CA, US"
214,no,,n/a,n/a,,,"San Francisco, CA, US"
222,no,,no,no,35,female,"San Francisco, CA, US"
225,no,Disarm police not more weapons community policing works,no,no,35,other,"Oakland, CA, US"
231,yes,,yes,no,35,male,"San Francisco, CA, US"
261,yes,,maybe,yes,35,male,"San Rafael, CA, US"
279,no,POA propaganda about tasers is the greatest danger to cops.,no,no,35,male,"San Francisco, CA, US"
284,maybe,,yes,yes,35,female,"San Francisco, CA, US"
285,no,,n/a,n/a,,,"Oakland, CA, US"
282,yes,Far less deadly than flying shards of metal in a dense city.,n/a,n/a,,,"Colorado Springs, CO, US"
287,no,more a problem than a solution,n/a,n/a,,,"San Francisco, CA, US"
290,yes,It gives officers a less-lethal alternative ,maybe,yes,35,male,"Dedham, MA, US"
300,no,,no,maybe,35,female,"San Francisco, CA, US"
303,yes,,maybe,yes,35,other,"Oakland, CA, US"
307,maybe,Mandatory de-escalation training should accompany. ,maybe,yes,35,male,"Sebastopol, CA, US"
318,yes,It gives officers a less-lethal alternative ,n/a,n/a,,,"San Francisco, CA, US"
319,yes,Police should carry taser's instead of guns,yes,yes,35,male,"San Francisco, CA, US"
320,maybe,,n/a,n/a,,,"Oakland, CA, US"
325,no,,n/a,n/a,,,"Istanbul, Istanbul, TR"
333,no,,n/a,n/a,,,"Istanbul, Istanbul, TR"
335,yes,they are at least less lethal,maybe,yes,35,male,"Mineola, TX, US"
347,no,more a problem than a solution,no,no,35,male,"Oakland, CA, US"
350,yes,It gives officers a less-lethal alternative ,yes,yes,35,male,"Foster City, CA, US"
362,yes,It gives officers a less-lethal alternative ,maybe,maybe,35,female,"Santa Rosa, CA, US"
364,yes,It gives officers a less-lethal alternative ,yes,yes,35,male,"Scottsdale, AZ, US"
367,yes,,n/a,n/a,,,"San Jose, CA, US"
375,yes,It gives officers a less-lethal alternative ,yes,yes,35,male,"Melbourne, Victoria, AU"
382,yes,It gives officers a less-lethal alternative ,maybe,yes,35,male,"San Francisco, CA, US"
388,no,,n/a,n/a,,,"Hawthorn, Victoria, AU"
399,yes,,n/a,n/a,,,"Oakland, CA, US"
400,no,"more a problem than a solution, _n this age of science, there must be mõre humanistic way",no,no,35,male,"Oakland, CA, US"
409,yes,"They need to be protected, they are at least less lethal, Police should carry taser's instead of guns, Far less deadly than flying shards of metal in a dense city., It gives officers a less-lethal alternative ",yes,yes,35,male,"San Francisco, CA, US"
410,yes,It gives officers a less-lethal alternative ,yes,yes,35,male,"Mesa, AZ, US"
420,yes,Police should carry taser's instead of guns,maybe,yes,35,male,"Brooklyn, NY, US"
421,yes,It gives officers a less-lethal alternative ,yes,yes,35,male,"Scottsdale, AZ, US"
19,yes,"Far less deadly than flying shards of metal in a dense city., It gives officers a less-lethal alternative ",no,yes,35,male,unknown
436,yes,"Police should carry taser's instead of guns, Far less deadly than flying shards of metal in a dense city., It gives officers a less-lethal alternative ",no,maybe,35,other,"Hanoi, Ha N_i, VN"
441,yes,"They need to be protected, they are at least less lethal",no,yes,35,male,"Hanoi, Ha N_i, VN"
